suite,shape,relations,variant,selected_algorithm,query_id,repetition,operations,duration_ns,candidate_operators,connected_subgraphs,dp_states_created,repaired_subproblems
relation_set,set_build,127,from_iter,Inline128,0,3,500,88917,0,,0,0
relation_set,set_build,127,incremental_with,Inline128,0,4,500,173542,0,,0,0
relation_set,set_build,127,from_iter,Inline128,0,4,500,88834,0,,0,0
relation_set,mixed_set_ops,128,borrowed_union,Inline128,0,0,20000,165083,0,,0,0
relation_set,mixed_set_ops,128,allocating_assign,Inline128,0,0,20000,158834,0,,0,0
relation_set,mixed_set_ops,128,in_place_assign,Inline128,0,0,20000,123291,0,,0,0
relation_set,mixed_set_ops,128,borrowed_union,Inline128,0,1,20000,165166,0,,0,0
relation_set,mixed_set_ops,128,allocating_assign,Inline128,0,1,20000,158458,0,,0,0
relation_set,mixed_set_ops,128,in_place_assign,Inline128,0,1,20000,123208,0,,0,0
relation_set,mixed_set_ops,128,borrowed_union,Inline128,0,2,20000,164458,0,,0,0
relation_set,mixed_set_ops,128,allocating_assign,Inline128,0,2,20000,158584,0,,0,0
relation_set,mixed_set_ops,128,in_place_assign,Inline128,0,2,20000,123542,0,,0,0
relation_set,mixed_set_ops,128,borrowed_union,Inline128,0,3,20000,166875,0,,0,0
relation_set,mixed_set_ops,128,allocating_assign,Inline128,0,3,20000,158792,0,,0,0
relation_set,mixed_set_ops,128,in_place_assign,Inline128,0,3,20000,123500,0,,0,0
relation_set,mixed_set_ops,128,borrowed_union,Inline128,0,4,20000,165375,0,,0,0
relation_set,mixed_set_ops,128,allocating_assign,Inline128,0,4,20000,158625,0,,0,0
relation_set,mixed_set_ops,128,in_place_assign,Inline128,0,4,20000,123292,0,,0,0
relation_set,set_build,128,incremental_with,Inline128,0,0,500,173458,0,,0,0
relation_set,set_build,128,from_iter,Inline128,0,0,500,89125,0,,0,0
relation_set,set_build,128,incremental_with,Inline128,0,1,500,173791,0,,0,0
relation_set,set_build,128,from_iter,Inline128,0,1,500,89250,0,,0,0
relation_set,set_build,128,incremental_with,Inline128,0,2,500,173291,0,,0,0
relation_set,set_build,128,from_iter,Inline128,0,2,500,89333,0,,0,0
relation_set,set_build,128,incremental_with,Inline128,0,3,500,173875,0,,0,0
relation_set,set_build,128,from_iter,Inline128,0,3,500,88958,0,,0,0
relation_set,set_build,128,incremental_with,Inline128,0,4,500,173167,0,,0,0
relation_set,set_build,128,from_iter,Inline128,0,4,500,88750,0,,0,0
relation_set,mixed_set_ops,129,borrowed_union,Dense,0,0,20000,641250,0,,0,0
relation_set,mixed_set_ops,129,allocating_assign,Dense,0,0,20000,618042,0,,0,0
relation_set,mixed_set_ops,129,in_place_assign,Dense,0,0,20000,146834,0,,0,0
relation_set,mixed_set_ops,129,borrowed_union,Dense,0,1,20000,640916,0,,0,0
relation_set,mixed_set_ops,129,allocating_assign,Dense,0,1,20000,617250,0,,0,0
relation_set,mixed_set_ops,129,in_place_assign,Dense,0,1,20000,147459,0,,0,0
relation_set,mixed_set_ops,129,borrowed_union,Dense,0,2,20000,640333,0,,0,0
relation_set,mixed_set_ops,129,allocating_assign,Dense,0,2,20000,617417,0,,0,0
relation_set,mixed_set_ops,129,in_place_assign,Dense,0,2,20000,147042,0,,0,0
relation_set,mixed_set_ops,129,borrowed_union,Dense,0,3,20000,640708,0,,0,0
relation_set,mixed_set_ops,129,allocating_assign,Dense,0,3,20000,617583,0,,0,0
relation_set,mixed_set_ops,129,in_place_assign,Dense,0,3,20000,146834,0,,0,0
relation_set,mixed_set_ops,129,borrowed_union,Dense,0,4,20000,640916,0,,0,0
relation_set,mixed_set_ops,129,allocating_assign,Dense,0,4,20000,617167,0,,0,0
relation_set,mixed_set_ops,129,in_place_assign,Dense,0,4,20000,147542,0,,0,0
relation_set,set_build,129,incremental_with,Dense,0,0,500,232333,0,,0,0
relation_set,set_build,129,from_iter,Dense,0,0,500,90667,0,,0,0
relation_set,set_build,129,incremental_with,Dense,0,1,500,230917,0,,0,0
relation_set,set_build,129,from_iter,Dense,0,1,500,90666,0,,0,0
relation_set,set_build,129,incremental_with,Dense,0,2,500,231375,0,,0,0
relation_set,set_build,129,from_iter,Dense,0,2,500,93500,0,,0,0
relation_set,set_build,129,incremental_with,Dense,0,3,500,231083,0,,0,0
relation_set,set_build,129,from_iter,Dense,0,3,500,90500,0,,0,0
relation_set,set_build,129,incremental_with,Dense,0,4,500,231458,0,,0,0
