suite,shape,relations,variant,selected_algorithm,query_id,repetition,operations,duration_ns,candidate_operators
adaptive_topologies,star,20,adaptive,LinearizedDp,0,0,1,2068000,19
adaptive_topologies,chain,30,adaptive,DpHyp,0,0,1,3345792,4495
adaptive_topologies,star,30,adaptive,LinearizedDp,0,0,1,2639167,29
adaptive_topologies,chain,40,adaptive,DpHyp,0,0,1,8824958,10660
adaptive_topologies,star,40,adaptive,LinearizedDp,0,0,1,3636875,39
adaptive_topologies,chain,70,adaptive,DpHyp,0,0,1,78782292,57155
adaptive_topologies,star,70,adaptive,LinearizedDp,0,0,1,8446208,69
adaptive_topologies,chain,100,adaptive,DpHyp,0,0,1,374244333,166650
adaptive_topologies,star,100,adaptive,LinearizedDp,0,0,1,12978916,99
adaptive_topologies,chain,128,adaptive,GooDp,0,0,1,138953708,9487
adaptive_topologies,star,128,adaptive,GooDp,0,0,1,93592542,10550
adaptive_topologies,chain,192,adaptive,GooDp,0,0,1,905801417,20375
adaptive_topologies,star,192,adaptive,GooDp,0,0,1,443313458,20822
adaptive_topologies,clique,10,adaptive,DpHyp,0,0,1,105122500,83653
adaptive_topologies,clique,20,adaptive,LinearizedDp,0,0,1,18996125,1330
adaptive_topologies,clique,30,adaptive,LinearizedDp,0,0,1,47196834,4495
adaptive_topologies,clique,40,adaptive,LinearizedDp,0,0,1,102951500,10660
adaptive_topologies,clique,70,adaptive,LinearizedDp,0,0,1,865756916,57155
relation_set,mixed_set_ops,32,borrowed_union,Inline64,0,0,20000,58416,0
relation_set,mixed_set_ops,32,allocating_assign,Inline64,0,0,20000,113541,0
relation_set,mixed_set_ops,32,in_place_assign,Inline64,0,0,20000,51542,0
relation_set,set_build,32,incremental_with,Inline64,0,0,500,46500,0
relation_set,set_build,32,from_iter,Inline64,0,0,500,18500,0
relation_set,mixed_set_ops,32,borrowed_union,Inline64,0,1,20000,49209,0
relation_set,mixed_set_ops,32,allocating_assign,Inline64,0,1,20000,108000,0
relation_set,mixed_set_ops,32,in_place_assign,Inline64,0,1,20000,51750,0
relation_set,set_build,32,incremental_with,Inline64,0,1,500,42958,0
relation_set,set_build,32,from_iter,Inline64,0,1,500,18375,0
relation_set,mixed_set_ops,32,borrowed_union,Inline64,0,2,20000,49333,0
relation_set,mixed_set_ops,32,allocating_assign,Inline64,0,2,20000,108000,0
relation_set,mixed_set_ops,32,in_place_assign,Inline64,0,2,20000,51333,0
relation_set,set_build,32,incremental_with,Inline64,0,2,500,43000,0
relation_set,set_build,32,from_iter,Inline64,0,2,500,18292,0
relation_set,mixed_set_ops,32,borrowed_union,Inline64,0,3,20000,49250,0
relation_set,mixed_set_ops,32,allocating_assign,Inline64,0,3,20000,107958,0
relation_set,mixed_set_ops,32,in_place_assign,Inline64,0,3,20000,51000,0
relation_set,set_build,32,incremental_with,Inline64,0,3,500,43500,0
relation_set,set_build,32,from_iter,Inline64,0,3,500,18208,0
relation_set,mixed_set_ops,32,borrowed_union,Inline64,0,4,20000,49250,0
relation_set,mixed_set_ops,32,allocating_assign,Inline64,0,4,20000,107959,0
relation_set,mixed_set_ops,32,in_place_assign,Inline64,0,4,20000,51667,0
relation_set,set_build,32,incremental_with,Inline64,0,4,500,43417,0
relation_set,set_build,32,from_iter,Inline64,0,4,500,18250,0
relation_set,mixed_set_ops,63,borrowed_union,Inline64,0,0,20000,49250,0
relation_set,mixed_set_ops,63,allocating_assign,Inline64,0,0,20000,108042,0
relation_set,mixed_set_ops,63,in_place_assign,Inline64,0,0,20000,50542,0
relation_set,set_build,63,incremental_with,Inline64,0,0,500,85709,0
relation_set,set_build,63,from_iter,Inline64,0,0,500,32750,0
relation_set,mixed_set_ops,63,borrowed_union,Inline64,0,1,20000,49334,0
relation_set,mixed_set_ops,63,allocating_assign,Inline64,0,1,20000,107958,0
relation_set,mixed_set_ops,63,in_place_assign,Inline64,0,1,20000,51167,0
relation_set,set_build,63,incremental_with,Inline64,0,1,500,86750,0
relation_set,set_build,63,from_iter,Inline64,0,1,500,32625,0
relation_set,mixed_set_ops,63,borrowed_union,Inline64,0,2,20000,50916,0
relation_set,mixed_set_ops,63,allocating_assign,Inline64,0,2,20000,108000,0
relation_set,mixed_set_ops,63,in_place_assign,Inline64,0,2,20000,51125,0
relation_set,set_build,63,incremental_with,Inline64,0,2,500,86917,0
relation_set,set_build,63,from_iter,Inline64,0,2,500,32583,0
relation_set,mixed_set_ops,63,borrowed_union,Inline64,0,3,20000,49250,0
relation_set,mixed_set_ops,63,allocating_assign,Inline64,0,3,20000,108125,0
relation_set,mixed_set_ops,63,in_place_assign,Inline64,0,3,20000,51042,0
relation_set,set_build,63,incremental_with,Inline64,0,3,500,85708,0
relation_set,set_build,63,from_iter,Inline64,0,3,500,32667,0
relation_set,mixed_set_ops,63,borrowed_union,Inline64,0,4,20000,49334,0
relation_set,mixed_set_ops,63,allocating_assign,Inline64,0,4,20000,107958,0
relation_set,mixed_set_ops,63,in_place_assign,Inline64,0,4,20000,51125,0
relation_set,set_build,63,incremental_with,Inline64,0,4,500,86625,0
relation_set,set_build,63,from_iter,Inline64,0,4,500,32667,0
relation_set,mixed_set_ops,64,borrowed_union,Inline64,0,0,20000,49292,0
relation_set,mixed_set_ops,64,allocating_assign,Inline64,0,0,20000,108042,0
relation_set,mixed_set_ops,64,in_place_assign,Inline64,0,0,20000,58708,0
relation_set,set_build,64,incremental_with,Inline64,0,0,500,85834,0
relation_set,set_build,64,from_iter,Inline64,0,0,500,32458,0
relation_set,mixed_set_ops,64,borrowed_union,Inline64,0,1,20000,49250,0
relation_set,mixed_set_ops,64,allocating_assign,Inline64,0,1,20000,117083,0
relation_set,mixed_set_ops,64,in_place_assign,Inline64,0,1,20000,50417,0
relation_set,set_build,64,incremental_with,Inline64,0,1,500,85709,0
relation_set,set_build,64,from_iter,Inline64,0,1,500,32500,0
relation_set,mixed_set_ops,64,borrowed_union,Inline64,0,2,20000,60709,0
relation_set,mixed_set_ops,64,allocating_assign,Inline64,0,2,20000,108125,0
relation_set,mixed_set_ops,64,in_place_assign,Inline64,0,2,20000,51167,0
relation_set,set_build,64,incremental_with,Inline64,0,2,500,85625,0
relation_set,set_build,64,from_iter,Inline64,0,2,500,32375,0
relation_set,mixed_set_ops,64,borrowed_union,Inline64,0,3,20000,49250,0
relation_set,mixed_set_ops,64,allocating_assign,Inline64,0,3,20000,107958,0
relation_set,mixed_set_ops,64,in_place_assign,Inline64,0,3,20000,51000,0
relation_set,set_build,64,incremental_with,Inline64,0,3,500,85959,0
relation_set,set_build,64,from_iter,Inline64,0,3,500,33500,0
relation_set,mixed_set_ops,64,borrowed_union,Inline64,0,4,20000,50667,0
relation_set,mixed_set_ops,64,allocating_assign,Inline64,0,4,20000,114584,0
relation_set,mixed_set_ops,64,in_place_assign,Inline64,0,4,20000,52833,0
relation_set,set_build,64,incremental_with,Inline64,0,4,500,106750,0
relation_set,set_build,64,from_iter,Inline64,0,4,500,36958,0
relation_set,mixed_set_ops,65,borrowed_union,Dynamic,0,0,20000,555250,0
relation_set,mixed_set_ops,65,allocating_assign,Dynamic,0,0,20000,552208,0
relation_set,mixed_set_ops,65,in_place_assign,Dynamic,0,0,20000,57250,0
relation_set,set_build,65,incremental_with,Dynamic,0,0,500,105292,0
relation_set,set_build,65,from_iter,Dynamic,0,0,500,65542,0
relation_set,mixed_set_ops,65,borrowed_union,Dynamic,0,1,20000,476041,0
relation_set,mixed_set_ops,65,allocating_assign,Dynamic,0,1,20000,503084,0
relation_set,mixed_set_ops,65,in_place_assign,Dynamic,0,1,20000,57208,0
relation_set,set_build,65,incremental_with,Dynamic,0,1,500,105083,0
relation_set,set_build,65,from_iter,Dynamic,0,1,500,61334,0
relation_set,mixed_set_ops,65,borrowed_union,Dynamic,0,2,20000,465666,0
relation_set,mixed_set_ops,65,allocating_assign,Dynamic,0,2,20000,454084,0
